Time Elapsed,Time in second
Time elapsed was 638954447ns or 0.638954447s,0.638954447
Time elapsed was 643257536ns or 0.643257536s,0.643257536
Time elapsed was 639856305ns or 0.639856305s,0.639856305
Time elapsed was 644389804ns or 0.644389804s,0.644389804
Time elapsed was 640167807ns or 0.640167807s,0.640167807
Time elapsed was 643093115ns or 0.643093115s,0.643093115
Time elapsed was 627594853ns or 0.627594853s,0.627594853
Time elapsed was 640683595ns or 0.640683595s,0.640683595
Time elapsed was 641241449ns or 0.641241449s,0.641241449
Time elapsed was 641966577ns or 0.641966577s,0.641966577
Mean Time,0.6401205488
