Time Elapsed,Time in second
Time elapsed was 60289555ns or 0.060289555s,0.060289555
Time elapsed was 58523904ns or 0.058523904s,0.058523904
Time elapsed was 58044435ns or 0.058044435s,0.058044435
Time elapsed was 58590024ns or 0.058590024s,0.058590024
Time elapsed was 57407648ns or 0.057407648s,0.057407648
Time elapsed was 58404072ns or 0.058404072s,0.058404072
Time elapsed was 54064382ns or 0.054064382s,0.054064382
Time elapsed was 57582173ns or 0.057582173s,0.057582173
Time elapsed was 58935221ns or 0.058935221s,0.058935221
Time elapsed was 58497711ns or 0.058497711s,0.058497711
Mean Time,0.0580339125
