Time Elasped,Time in second
TIme elasped: 386015395nsec or 0.386015395sec,0.386015395
TIme elasped: 362748199nsec or 0.362748199sec,0.362748199
TIme elasped: 366000450nsec or 0.366000450sec,0.36600045
TIme elasped: 335319028nsec or 0.335319028sec,0.335319028
TIme elasped: 341823063nsec or 0.341823063sec,0.341823063
TIme elasped: 343220564nsec or 0.343220564sec,0.343220564
TIme elasped: 347801281nsec or 0.347801281sec,0.347801281
TIme elasped: 332029996nsec or 0.332029996sec,0.332029996
TIme elasped: 364206557nsec or 0.364206557sec,0.364206557
TIme elasped: 387641497nsec or 0.387641497sec,0.387641497
Mean Time,0.356680603
