Time Elapsed,Time in second
Time elapsed was 263370692379ns or 263.370692379s,263.370692379
Time elapsed was 264325893274ns or 264.325893274s,264.325893274
Time elapsed was 262565163705ns or 262.565163705s,262.565163705
Time elapsed was 262020627997ns or 262.020627997s,262.020627997
Time elapsed was 260582313232ns or 260.582313232s,260.582313232
Time elapsed was 258892430145ns or 258.892430145s,258.892430145
Time elapsed was 259572972460ns or 259.572972460s,259.57297246
Time elapsed was 260448186328ns or 260.448186328s,260.448186328
Time elapsed was 259777051954ns or 259.777051954s,259.777051954
Time elapsed was 259642889562ns or 259.642889562s,259.642889562
Mean Time,261.1198221036
