Time elapsed,Time in second
Time elapsed was 174020ns or 0.000174020s,0.00017402
Time elapsed was 164728ns or 0.000164728s,0.000164728
Time elapsed was 210972ns or 0.000210972s,0.000210972
Time elapsed was 645820ns or 0.000645820s,0.00064582
Time elapsed was 479601ns or 0.000479601s,0.000479601
Time elapsed was 187871ns or 0.000187871s,0.000187871
Time elapsed was 714155ns or 0.000714155s,0.000714155
Time elapsed was 484789ns or 0.000484789s,0.000484789
Time elapsed was 671527ns or 0.000671527s,0.000671527
Time elapsed was 677231ns or 0.000677231s,0.000677231
Mean time,0.0004410714
