Time elapsed,Time in second
Time elapsed was 61952ns or 0.000061952s,6.1952E-05
Time elapsed was 62848ns or 0.000062848s,6.2848E-05
Time elapsed was 62779ns or 0.000062779s,6.2779E-05
Time elapsed was 178447ns or 0.000178447s,0.000178447
Time elapsed was 156052ns or 0.000156052s,0.000156052
Time elapsed was 194547ns or 0.000194547s,0.000194547
Time elapsed was 243463ns or 0.000243463s,0.000243463
Time elapsed was 194116ns or 0.000194116s,0.000194116
Time elapsed was 287044ns or 0.000287044s,0.000287044
Time elapsed was 287592ns or 0.000287592s,0.000287592
Mean time,0.000172884
