x,y
87.72,134.58
79.77,122.655
74.88,115.32
67.05,103.575
73.75,113.625
69.58,107.37
67.21,103.815
72.13,111.195
87.64,134.46
65.42,101.13
83.09,127.635
73.3,112.95
76.75,118.125
69.17,106.755
87.61,134.415
83.56,128.34
75.57,116.355
73.8,113.7
75.75,116.625
97.13,148.695
6.54,12.81
54.31,84.465
57.36,89.04
93.54,143.31
98.26,150.39
87.27,133.905
66.44,102.66
98.24,150.36
27.74,44.61
10.51,18.765
88.17,135.255
22.66,36.99
30.46,48.69
65.24,100.86
1.71,5.565
91.29,139.935
77.43,119.145
68.29,105.435
33.43,53.145
60.4,93.6
15.86,26.79
61.96,95.94
11.05,19.575
23.99,38.985
21.13,34.695
34.79,55.185
22.32,36.48
78.29,120.435
25.38,41.07
94.49,144.735
35.62,56.43
58.2,90.3
98.37,150.555
93.79,143.685
26.98,43.47
30.55,48.825
5.86,11.79
78.96,121.44
93.19,142.785
24.73,40.095
94.91,145.365
61.84,95.76
2.6,6.9
95.93,146.895
95.39,146.085
20.24,33.36
29.93,47.895
68.29,105.435
36.68,58.02
93.29,142.935
30.53,48.795
48.1,75.15
83.17,127.755
8.22,15.33
8.76,16.14
97.71,149.565
13.28,22.92
1.07,4.605
11.16,19.74
20.98,34.47
21.89,35.835
11.51,20.265
3.22,7.83
41.33,64.995
9.72,17.58
10.91,19.365
40.75,64.125
81.92,125.88
54.44,84.66
11.35,20.025
69.49,107.235
50.51,78.765
74.84,115.26
77.35,119.025
81.72,125.58
11.65,20.475
13.48,23.22
79.02,121.53
84.93,130.395
59.13,91.695
70.14,108.21
58.9,91.35
28.64,45.96
43.71,68.565
58.86,91.29
78.67,121.005
94.74,145.11
70.31,108.465
16.2,27.3
58.59,90.885
70.81,109.215
7.86,14.79
91.46,140.19
34.05,54.075
24.06,39.09
66.23,102.345
58.69,91.035
0.18,3.27
20.48,33.72
63.79,98.685
27.38,44.07
39.12,61.68
85.45,131.175
48.89,76.335
81.54,125.31
20.52,33.78
16.33,27.495
82.69,127.035
78.03,120.045
3.36,8.04
9.16,16.74
5.56,11.34
96.94,148.41
46.54,72.81
13.32,22.98
21.63,35.445
35.36,56.04
92.63,141.945
35.77,56.655
24.99,40.485
78.27,120.405
44.2,69.3
8.41,15.615
22.39,36.585
4.01,9.015
61.57,95.355
39.85,62.775
76.59,117.885
49.6,77.4
54,84
92.2,141.3
98.73,151.095
56.18,87.27
75.1,115.65
36.91,58.365
36.52,57.78
47.65,74.475
72.52,111.78
50.78,79.17
85.76,131.64
14.41,24.615
48.66,75.99
50.39,78.585
95.63,146.445
69.74,107.61
25.53,41.295
67.15,103.725
55.44,86.16
20.44,33.66
98.96,151.44
47.04,73.56
58.45,90.675
57.79,89.685
83.84,128.76
61.97,95.955
37.66,59.49
65.32,100.98
32.31,51.465
64.08,99.12
53.53,83.295
46.02,72.03
8.19,15.285
75.24,115.86
11.54,20.31
37.35,59.025
17.9,29.85
68.74,106.11
35.61,56.415
12.89,22.335
51.57,80.355
69.44,107.16
55,85.5
9.46,17.19
7.32,13.98
18.69,31.035
91.8,140.7
23.13,37.695
79.77,122.655
25.92,41.88
88.84,136.26
59.62,92.43
20.02,33.03
66.18,102.27
22.33,36.495
34.98,55.47
27.88,44.82
74.11,114.165
63.45,98.175
34.17,54.255
59.99,92.985
26.78,43.17
30.99,49.485
3.26,7.89
51.85,80.775
38,60
69.57,107.355
55.77,86.655
38.64,60.96
31.94,50.91
33.57,53.355
49.34,77.01
60.37,93.555
48.79,76.185
53.62,83.43
44.49,69.735
40.72,64.08
62.3,96.45
86.71,133.065
28.92,46.38
3.64,8.46
2.98,7.47
7.72,14.58
36.01,57.015
12.8,22.2
18.18,30.27
8.74,16.11
93.05,142.575
78.51,120.765
9.32,16.98
28.43,45.645
5.63,11.445
5.75,11.625
33.39,53.085
98.06,150.09
61.33,94.995
90.28,138.42
97.93,149.895
24.74,40.11
28.42,45.63
67.13,103.695
29.53,47.295
28.34,45.51
5.75,11.625
36.57,57.855
18.7,31.05
85.61,131.415
90.19,138.285
29.44,47.16
95.34,146.01
25.79,41.685
18.18,30.27
47.36,74.04
9.34,17.01
95.16,145.74
79.94,122.91
1.82,5.73
75.83,116.745
15.1,25.65
34.45,54.675
0.41,3.615
12.9,22.35
75.66,116.49
40.13,63.195
57.37,89.055
79.64,122.46
25.54,41.31
33.13,52.695
31.55,50.325
0.93,4.395
36.4,57.6
55.6,86.4
1.26,4.89
73.54,113.31
49.81,77.715
97.31,148.965
89.64,137.46
91.89,140.835
45.89,71.835
99.9,152.85
39.27,61.905
63.61,98.415
60.86,94.29
3.11,7.665
61.64,95.46
28.18,45.27
5.2,10.8
51.76,80.64
57.63,89.445
78.84,121.26
10.54,18.81
52.51,81.765
4.69,10.035
93.93,143.895
69.7,107.55
57.13,88.695
23.45,38.175
44.59,69.885
31.91,50.865
44.44,69.66
9.46,17.19
92.57,141.855
36.29,57.435
32.06,51.09
86.16,132.24
49.86,77.79
96.14,147.21
16.05,27.075
52.13,81.195
51.27,79.905
67.94,104.91
86.77,133.155
74.2,114.3
39.13,61.695
66,102
22.48,36.72
54.9,85.35
51.71,80.565
36.07,57.105
5.38,11.07
84.49,129.735
28.93,46.395
89.92,137.88
1.83,5.745
26.71,43.065
49.96,77.94
13.56,23.34
26.93,43.395
85.19,130.785
74.31,114.465
44.9,70.35
81.6,125.4
86.68,133.02
8.77,16.155
75.18,115.77
8.86,16.29
66.61,102.915
5.8,11.7
84.73,130.095
35.34,56.01
97.62,149.43
15.22,25.83
77.52,119.28
2.96,7.44
60.66,93.99
66.5,102.75
72.85,112.275
65.9,101.85
43.44,68.16
11.06,19.59
14.77,25.155
77.52,119.28
47.99,74.985
63.43,98.145
50.26,78.39
95.43,146.145
24.53,39.795
12.87,22.305
63.79,98.685
56.58,87.87
59.1,91.65
99.99,152.985
34.56,54.84
98.83,151.245
7.73,14.595
34.44,54.66
96.37,147.555
50.19,78.285
84.66,129.99
79.01,121.515
99.12,151.68
61.97,95.955
81.93,125.895
36.18,57.27
3.47,8.205
0.07,3.105
82.02,126.03
37.02,58.53
26.83,43.245
87.9,134.85
22.65,36.975
8.8,16.2
53.12,82.68
64.69,100.035
55.56,86.34
98.42,150.63
4.99,10.485
63.23,97.845
56.44,87.66
8.58,15.87
79.38,122.07
55.64,86.46
84.76,130.14
29.21,46.815
18.11,30.165
33.15,52.725
11.3,19.95
83.67,128.505
23.43,38.145
29.59,47.385
19.9,32.85
26.05,42.075
61.05,94.575
6.27,12.405
96.95,148.425
82.78,127.17
73.84,113.76
