Time elapsed,Time in second
Time elapsed was 129128915ns or 0.129128915s,0.129128915
Time elapsed was 113175646ns or 0.113175646s,0.113175646
Time elapsed was 112666611ns or 0.112666611s,0.112666611
Time elapsed was 112039584ns or 0.112039584s,0.112039584
Time elapsed was 112463464ns or 0.112463464s,0.112463464
Time elapsed was 114518903ns or 0.114518903s,0.114518903
Time elapsed was 112101338ns or 0.112101338s,0.112101338
Time elapsed was 112824553ns or 0.112824553s,0.112824553
Time elapsed was 113151742ns or 0.113151742s,0.113151742
Time elapsed was 113011192ns or 0.113011192s,0.113011192
Mean time,0.1145081948
