Time elapsed,Time in second
Time elapsed was 427756106ns or 0.427756106s,0.427756106
Time elapsed was 432424763ns or 0.432424763s,0.432424763
Time elapsed was 434102897ns or 0.434102897s,0.434102897
Time elapsed was 443393532ns or 0.443393532s,0.443393532
Time elapsed was 441694692ns or 0.441694692s,0.441694692
Time elapsed was 430218854ns or 0.430218854s,0.430218854
Time elapsed was 437249144ns or 0.437249144s,0.437249144
Time elapsed was 427862589ns or 0.427862589s,0.427862589
Time elapsed was 464723614ns or 0.464723614s,0.464723614
Time elapsed was 462087938ns or 0.462087938s,0.462087938
Mean Time,0.4401514129
