Time elapsed,Time in second
Time elapsed was 113765944ns or 0.113765944s,0.113765944
Time elapsed was 115034212ns or 0.115034212s,0.115034212
Time elapsed was 113162782ns or 0.113162782s,0.113162782
Time elapsed was 113102860ns or 0.113102860s,0.11310286
Time elapsed was 114801303ns or 0.114801303s,0.114801303
Time elapsed was 115630279ns or 0.115630279s,0.115630279
Time elapsed was 114901169ns or 0.114901169s,0.114901169
Time elapsed was 116418247ns or 0.116418247s,0.116418247
Time elapsed was 113293349ns or 0.113293349s,0.113293349
Mean Time,0.1030110145
